id	printers_id	purpose	time	material_amount	material_type	material_colour	price	print_comment	status	print_started_by	print_finished_by	created_at	updated_at
26	7	Use	04:52:00	62.9	 		10.5	0	Success	48	48	04/03/2014 09:00	04/03/2014 13:52
27	2	Use	00:43:00	23	 		0	0	Success	48	48	04/03/2014 09:00	04/03/2014 09:43
28	3	Use	01:02:00	32	 		3.5	0	Success	58	58	12/03/2014 09:00	12/03/2014 10:02
29	6	Use	01:11:00	9.9	 		2	0	Success	58	58	12/03/2014 09:00	12/03/2014 10:11
30	3	Use	01:29:00	15	 		3	phone: 07583286972	Success	58	58	12/03/2014 10:02	12/03/2014 11:31
31	15	Use	48:00:00	21.5	 		73.5	0	Success	41	41	12/03/2014 09:00	14/03/2014 09:00
32	10	Use	02:11:00	68	 		7	0	Success	58	58	12/03/2014 09:00	12/03/2014 11:11
33	10	Use	00:58:00	23.7	 		3	0	Success	52	52	12/03/2014 11:11	12/03/2014 12:09
34	10	Use	01:26:00	37.4	 		4.5	0	Success	52	52	12/03/2014 12:09	12/03/2014 13:35
35	10	Use	01:16:00	26.2	 		3.5	0	Success	52	52	12/03/2014 13:35	12/03/2014 14:51
36	10	Use	02:50:00	20.7	 		5.5	0	Success	52	52	12/03/2014 14:51	12/03/2014 17:41
37	5	Use	00:15:00	147.6	 		8	0	Success	59	59	12/03/2014 09:00	12/03/2014 09:15
38	4	Use	04:23:00	34.3	 		8.5	0	Success	41	41	12/03/2014 09:00	12/03/2014 13:23
39	6	Use	02:00:00	63	 		4	0	Success	58	58	12/03/2014 10:11	12/03/2014 12:11
40	1	Use	01:11:00	15.2	 		2.25	0	Success	58	58	12/03/2014 09:00	12/03/2014 10:11
41	6	Loan	15:00:00	0	 		0	returned	Success	52	52	12/03/2014 18:00	13/03/2014 09:00
42	6	Use	01:24:00	20.3	 		3.5	0	Success	59	59	12/03/2014 12:11	12/03/2014 13:35
43	15	Use	01:58:00	16	 		4	15 hours free time in all	Success	41	41	13/03/2014 09:00	13/03/2014 10:58
44	2	Use	01:10:00	19.5	 		3	0	Success	49	49	13/03/2014 09:00	13/03/2014 10:10
45	6	Use	02:03:00	45	 		5.5	0	Success	41	41	13/03/2014 09:00	13/03/2014 11:03
46	13	Use	03:40:00	0	 		5.5	material amount Not recorded	Success	41	41	13/03/2014 09:00	13/03/2014 12:40
47	3	Use	01:30:00	40	 		4.5	G6	Success	41	41	13/03/2014 09:00	13/03/2014 10:30
48	3	Use	00:28:00	12	 		1.5	G6	Success	49	49	13/03/2014 10:30	13/03/2014 10:58
49	13	Use	01:45:00	43.8	 		5	0	Success	41	41	13/03/2014 12:40	13/03/2014 14:25
50	2	Use	00:13:00	4	 		0.5	0	Success	41	41	13/03/2014 10:10	13/03/2014 10:23
51	6	Use	01:30:00	11.9	 		3	0	Success	41	41	19/03/2014 09:00	19/03/2014 10:30
52	6	Use	00:37:00	6.6	 		1.5	0	Success	41	41	19/03/2014 10:30	19/03/2014 11:07
53	4	Use	00:24:00	26	 		2	0	Success	58	58	19/03/2014 09:00	19/03/2014 09:24
54	4	Use	00:35:00	52	 		3.5	0	Success	58	58	19/03/2014 09:24	19/03/2014 09:59
55	4	Use	01:11:00	88	 		6.5	0	Success	58	58	19/03/2014 09:59	19/03/2014 11:10
56	15	Use	00:32:00	11.5	 		1.5	0	Success	59	59	19/03/2014 09:00	19/03/2014 09:32
57	5	Use	01:30:00	25.1	 		4	Agreed by Shoufeng	Success	41	41	19/03/2014 09:00	19/03/2014 10:30
58	5	Use	05:38:00	83.1	 		13	0	Success	37	37	19/03/2014 10:30	19/03/2014 16:08
59	1	Use	02:08:00	77	 		7.5	G7	Success	58	58	19/03/2014 09:00	19/03/2014 11:08
60	15	Use	03:00:00	17.1	 		5.3	0	Success	34	34	19/03/2014 09:32	19/03/2014 12:32
61	5	Use	00:50:00	3	 		1.5	0	Success	39	39	19/03/2014 16:08	19/03/2014 16:58
62	6	Use	05:30:00	37.6	 		10.05	0	Success	34	34	19/03/2014 11:07	19/03/2014 16:37
63	1	Use	02:00:00	47.4	 		5.37	Pmb1g13	Success	59	59	19/03/2014 11:08	19/03/2014 13:08
64	5	Use	01:52:00	43.1	 		5	0	Success	41	41	19/03/2014 16:58	19/03/2014 18:50
65	19	Use	01:48:00	22	 		1.1	0	Success	39	39	19/03/2014 09:00	19/03/2014 10:48
66	8	Use	03:45:00	26.3	 		6.9	"26173735
25703692"	Success	41	41	19/03/2014 09:00	19/03/2014 12:45
67	19	Use	00:00:00	78	 		4	0	Success	58	58	19/03/2014 10:48	19/03/2014 10:48
68	13	Loan	48:00:00	0	 		30	returned (material amount Not recorded)	Success	41	41	20/03/2014 18:00	22/03/2014 18:00
69	4	Loan	135:00:00	0	 		50	returned? To be returned by mon TBC	Success	56	56	20/03/2014 18:00	26/03/2014 09:00
70	10	Use	04:18:00	59.7	 		9.5	NO	Success	49	49	20/03/2014 09:00	20/03/2014 13:18
71	12	Use	02:20:00	57.2	 		6.5	7957657088	Success	56	56	20/03/2014 09:00	20/03/2014 11:20
72	13	Use	02:27:00	42.1	 		6	0	Success	49	49	20/03/2014 09:00	20/03/2014 11:27
73	16	Use	00:07:00	2	 		0.5	0	Success	49	49	20/03/2014 09:00	20/03/2014 09:07
74	5	Use	04:30:00	0	 		7	0	Success	41	41	20/03/2014 09:00	20/03/2014 13:30
75	16	Loan	159:00:00	0	 		50	returned Printer	Success	49	49	20/03/2014 18:00	27/03/2014 09:00
76	19	Use	03:20:00	0	 		5	Started before asking permission and don't remember the required material amount	Success	53	53	20/03/2014 09:00	20/03/2014 12:20
77	15	Use	02:38:00	17.8	 		5	0	Success	41	41	20/03/2014 09:00	20/03/2014 11:38
78	11	Loan	120:00:00	0	 		50	returned (Agreed by shoufeng)	Success	41	41	20/03/2014 18:00	25/03/2014 18:00
79	4	Use	00:43:00	5.5	 		1.5	0	Success	41	41	20/03/2014 09:00	20/03/2014 09:43
80	8	Use	03:51:00	0	 		6	0	Success	59	59	20/03/2014 09:00	20/03/2014 12:51
81	4	Use	00:39:00	9.4	 		1.5	0	Success	56	56	20/03/2014 09:43	20/03/2014 10:22
82	16	Loan	00:00:00	0	 		0	returned	Success	56	56	20/03/2014 17:30	20/03/2014 17:30
83	8	Use	04:00:00	55	 		9	0	Success	56	56	20/03/2014 12:51	20/03/2014 16:51
84	12	Use	01:16:00	8.1	 		2.28	0	Success	40	40	20/03/2014 11:20	20/03/2014 12:36
85	19	Use	01:25:00	35	 		4	0	Success	59	59	20/03/2014 12:20	20/03/2014 13:45
86	2	Use	03:47:00	72.2	 		9.5	0	Success	59	59	20/03/2014 09:00	20/03/2014 12:47
87	12	Loan	111:00:00	325.3	 		66.5	Returned 26/03/14	Success	38	38	21/03/2014 18:00	26/03/2014 09:00
88	13	Use	00:55:00	11	 		9.99	Staff	Success	37	37	24/03/2014 09:00	24/03/2014 09:55
89	13	Use	04:00:00	20	 		7.39	0	Success	37	37	24/03/2014 09:55	24/03/2014 13:55
90	2	Use	01:40:00	15.1	 		3.5	0	Success	53	53	26/03/2014 09:00	26/03/2014 10:40
91	11	Use	00:00:00	0	 		0	"Logbook not completed, info from note"	Success	38	38	26/03/2014 09:00	26/03/2014 09:00
92	8	Loan	13:00:00	120	 		25.5	returned	Success	49	49	26/03/2014 18:00	27/03/2014 07:00
93	19	Use	03:28:00	28	 		6.67	paid	Success	49	49	26/03/2014 09:00	26/03/2014 12:28
94	4	Use	03:50:00	0	 		6	"Info from note, couldn't find logbook."	Success	38	38	26/03/2014 09:00	26/03/2014 12:50
95	4	Use	00:00:00	110	 		5.5	0	Success	59	59	26/03/2014 12:50	26/03/2014 12:50
96	10	Use	04:00:00	45	 		8.5	0	Success	49	49	26/03/2014 09:00	26/03/2014 13:00
97	1	Use	06:25:00	66	 		13	Group 6/uav	Success	53	53	26/03/2014 09:00	26/03/2014 15:25
98	15	Use	10:17:00	80	 		19.5	Check hours	Success	50	50	26/03/2014 09:00	26/03/2014 19:17
99	5	Use	03:45:00	27	 		7	No logbook	Success	38	38	26/03/2014 09:00	26/03/2014 12:45
100	13	Use	02:20:00	13	 		4.15	Recorded in logbook 15	Success	38	38	26/03/2014 09:00	26/03/2014 11:20
101	8	Use	02:11:00	32	 		6	0	Success	53	53	26/03/2014 09:00	26/03/2014 11:11
102	19	Use	17:45:00	0	 		27	0	Success	37	37	26/03/2014 12:28	27/03/2014 06:13
103	6	Use	15:20:00	36.2	 		3.56	0	Success	37	37	26/03/2014 09:00	27/03/2014 00:20
104	15	Use	00:18:00	7.5	 		0.9	0	Success	37	37	26/03/2014 19:17	26/03/2014 19:35
105	12	Use	00:00:00	0	 		0	Phone: 07874823399	Success	38	38	26/03/2014 09:00	26/03/2014 09:00
106	8	Use	01:51:00	19.9	 		3.75	Phone: 07984074563	Success	50	50	26/03/2014 11:11	26/03/2014 13:02
107	8	Loan	159:00:00	141.7	 		74.55	returned 50+material = £7455029352	Success	49	49	27/03/2014 18:00	03/04/2014 09:00
108	19	Use	02:30:00	33	 		4.2	Approved by shoufemg	Success	49	49	27/03/2014 09:00	27/03/2014 11:30
109	19	Use	02:30:00	33	 		4.2	0	Success	45	45	27/03/2014 11:30	27/03/2014 14:00
110	1	Use	06:54:00	81.8	 		14.5	Group 2	Success	49	49	27/03/2014 09:00	27/03/2014 15:54
111	11	Use	01:15:00	26.5	 		3.5	0	Success	34	34	27/03/2014 09:00	27/03/2014 10:15
112	16	Use	02:22:00	34	 		5.25	0	Success	49	49	27/03/2014 09:00	27/03/2014 11:22
113	3	Loan	00:00:00	0	 		0	returned (Demonstrator training)	Success	50	50	03/04/2014 09:00	03/04/2014 09:00
114	2	Use	02:15:00	29.5	 		5	0	Success	39	39	06/04/2014 09:00	06/04/2014 11:15
115	6	Use	00:48:00	30	 		1.7	0	Success	54	54	06/04/2014 09:00	06/04/2014 09:48
116	13	Use	00:00:00	0	 		0	0	Success	59	59	06/04/2014 09:00	06/04/2014 09:00
117	11	Use	01:30:00	39	 		4.5	0	Success	24	24	06/04/2014 09:00	06/04/2014 10:30
118	1	Loan	15:00:00	52	 		22.5	returned Fw9g11@soton.ac.uk RETURNED Paid £20 for hire and £2:50 for materials	Success	55	55	20/04/2014 18:00	21/04/2014 09:00
119	2	Use	03:52:00	53.1	 		8.5	0	Success	38	38	30/04/2014 09:00	30/04/2014 12:52
120	2	Loan	159:00:00	0	 		0	returned	Success	24	24	30/04/2014 18:00	07/05/2014 09:00
121	5	Use	04:57:00	130.5	 		14	Phone - 07860640765	Success	38	38	30/04/2014 09:00	30/04/2014 13:57
122	4	Use	00:38:00	12.1	 		2	0	Success	38	38	30/04/2014 09:00	30/04/2014 09:38
123	6	Use	00:10:00	8.8	 		1	Print cancelled after few mins	Success	54	54	30/04/2014 09:00	30/04/2014 09:10
124	6	Use	00:20:00	8.8	 		720.5	0	Success	54	54	30/04/2014 09:10	30/04/2014 09:30
125	6	Use	01:23:00	17.1	 		3	0	Success	54	54	30/04/2014 09:30	30/04/2014 10:53
126	6	Use	01:38:00	18.9	 		3.5	0	Success	58	58	30/04/2014 10:53	30/04/2014 12:31
127	6	Use	01:09:00	11.9	 		2.5	0	Success	58	58	30/04/2014 12:31	30/04/2014 13:40
128	12	Use	03:38:00	50.4	 		8	0	Success	58	58	30/04/2014 09:00	30/04/2014 12:38
129	3	Use	01:59:00	25	 		4.5	Failed	Failed	54	54	30/04/2014 09:00	30/04/2014 09:11
130	3	Use	01:59:00	25	 		4.5	Failed	Failed	58	58	30/04/2014 09:11	30/04/2014 09:23
131	19	Use	02:42:00	19	 		5	0	Success	54	54	30/04/2014 09:00	30/04/2014 11:42
132	19	Use	02:15:00	48	 		6	0	Success	58	58	30/04/2014 11:42	30/04/2014 13:57
133	12	Use	01:36:00	12.4	 		3.5	0	Success	54	54	30/04/2014 12:38	30/04/2014 14:14
134	12	Use	00:46:00	7.2	 		2	0	Success	58	58	30/04/2014 14:14	30/04/2014 15:00
135	19	Use	01:09:00	29	 		3.5	0	Success	58	58	30/04/2014 13:57	30/04/2014 15:06
136	3	Use	02:00:00	28	 		4.5	Failed	Failed	58	58	30/04/2014 09:23	30/04/2014 09:35
137	8	Use	02:02:00	29.4	 		5	0	Success	58	58	11/05/2014 09:00	11/05/2014 11:02
138	11	Use	00:49:00	11.1	 		2	Mob: 07873591202	Success	58	58	11/05/2014 09:00	11/05/2014 09:49
139	11	Use	00:41:00	6	 		0	demonstrator training	Success	54	54	14/05/2014 09:00	14/05/2014 09:41
140	11	Use	00:11:00	1.4	 		0	demonstrator training	Success	54	54	14/05/2014 09:41	14/05/2014 09:52
141	3	Use	00:36:00	7	 		1.5	said they had spoken to shoufeng to arrange this printing.	Success	34	34	14/05/2014 09:00	14/05/2014 09:36
142	4	Use	01:08:00	33	 		3.5	Mob: 07908102499	Success	54	54	14/05/2014 09:00	14/05/2014 10:08
143	6	Use	01:03:00	16.6	 		2.5	0	Success	48	48	14/05/2014 09:00	14/05/2014 10:03
144	15	Use	00:21:00	9.1	 		1	0	Success	48	48	14/05/2014 09:00	14/05/2014 09:21
145	6	Use	04:18:00	65.8	 		10	7459213372	Success	54	54	14/05/2014 10:03	14/05/2014 14:21
146	3	Use	02:20:00	58	 		6.5	0	Success	41	41	14/05/2014 09:36	14/05/2014 11:56
147	4	Use	02:30:00	58	 		7	0	Success	41	41	14/05/2014 10:08	14/05/2014 12:38
148	11	Use	02:19:00	3.1	 		4	Print cancelled - stopped extruding material Mob: 07933456567	Success	54	54	14/05/2014 09:52	14/05/2014 12:11
149	4	Use	02:19:00	30.3	 		5	Mob: 07933456567	Success	54	54	14/05/2014 12:38	14/05/2014 14:57
150	15	Use	02:58:00	28.6	 		5.08	mob: 07414855246	Success	34	34	14/05/2014 09:21	14/05/2014 12:19
151	3	Use	00:40:00	13	 		1.25	1.25	Success	46	46	11/06/2014 09:00	11/06/2014 09:40
152	3	Use	02:10:00	44	 		5.4	42099	Success	46	46	11/06/2014 09:40	11/06/2014 11:50
153	2	Loan	336:00:00	0	 		100	returned after 2wks	Success	24	24	20/06/2014 18:00	04/07/2014 18:00
154	3	Use	00:43:00	19	 		2.5	0	Success	40	40	05/07/2014 09:00	05/07/2014 09:43
155	11	Use	01:02:00	11.1	 		0	demonstrator training	Success	58	58	05/07/2014 09:00	05/07/2014 10:02
156	3	Use	00:31:00	9	 		1.25	0	Success	58	58	05/07/2014 09:43	05/07/2014 10:14
157	11	Use	02:34:00	36.4	 		6	0	Success	40	40	05/07/2014 10:02	05/07/2014 12:36
158	6	Use	04:13:00	36.2	 		8.5	0	Success	40	40	05/07/2014 09:00	05/07/2014 13:13
159	6	Use	00:51:00	6.9	 		2	0	Success	58	58	05/07/2014 13:13	05/07/2014 14:04
160	13	Use	01:00:00	19	 		2.5	0	Success	40	40	05/07/2014 09:00	05/07/2014 10:00
161	13	Use	00:30:00	12.5	 		1.5	0	Success	40	40	05/07/2014 09:00	05/07/2014 09:30
162	19	Use	02:32:00	35	 		10	0	Success	40	40	05/07/2014 09:00	05/07/2014 11:32
163	19	Use	02:42:00	28	 		10	0	Success	40	40	05/07/2014 11:32	05/07/2014 14:14
164	3	Use	02:15:00	33	 		5	0	Success	40	40	05/07/2014 10:14	05/07/2014 12:29
165	8	Use	00:00:00	62	 		3.5	Was printing when arrived for shift. Apparently his supervisor ok'd use of printer as part of MSc project?	Success	54	54	31/07/2014 09:00	31/07/2014 09:00
166	4	Use	04:30:00	55.7	 		10	0	Success	41	41	04/08/2014 09:00	04/08/2014 13:30
167	6	Use	01:07:00	25	 		3	0	Success	41	41	05/08/2014 09:00	05/08/2014 10:07
168	19	Use	04:41:00	67.1	 		10.5	"Phone: 07502161219
WHICH GROUP?!"	Success	38	38	05/08/2014 09:00	05/08/2014 13:41
169	6	Use	01:34:00	0	 		2.5	Phone: 07502161219	Success	38	38	05/08/2014 10:07	05/08/2014 11:41
170	11	Use	04:30:00	32.3	 		8.5	0	Success	41	41	05/07/2014 12:36	05/07/2014 17:06
171	3	Use	02:30:00	17	 		5	0	Success	41	41	05/08/2014 09:00	05/08/2014 11:30
172	8	Loan	327:00:00	0	 		0	"returned after two weeks as agreed, No material used"	Success	54	54	10/08/2014 18:00	24/08/2014 09:00
173	6	Use	02:08:00	25	 		4.25	0	Success	58	58	10/08/2014 09:00	10/08/2014 11:08
174	8	Use	00:45:00	15	 		0	0	Success	40	40	04/09/2014 09:00	04/09/2014 09:45
175	15	Use	48:00:00	43.7	 		0	demonstrator	Success	50	50	04/09/2014 09:00	06/09/2014 09:00
176	8	Use	00:37:00	7.7	 		0	0	Success	54	54	04/09/2014 09:45	04/09/2014 10:22
177	8	Use	00:19:00	3	 		0	0	Success	54	54	04/09/2014 10:22	04/09/2014 10:41
178	19	Use	00:50:00	10	 		2	0	Success	40	40	04/09/2014 09:00	04/09/2014 09:50
179	8	Use	03:40:00	46.8	 		0	0	Success	41	41	04/10/2014 09:00	04/10/2014 12:40
180	19	Use	03:50:00	35	 		7.5	0	Success	41	41	04/10/2014 09:00	04/10/2014 12:50
181	16	Use	00:20:00	3.2	 		1.16	Pay later together	Success	58	58	07/10/2014 09:00	07/10/2014 09:20
182	16	Loan	720:00:00	0	 		35	"returned, Pay later together"	Success	58	58	07/10/2014 18:00	06/11/2014 18:00
183	3	Use	00:20:00	3	 		1	0	Success	59	59	07/10/2014 09:00	07/10/2014 09:20
184	3	Use	00:38:00	7	 		1.5	0	Success	59	59	07/10/2014 09:20	07/10/2014 09:58
185	4	Use	00:00:00	66	 		3.5	Form not filled in and spreadsheet not updated group had been printing since 9am and had not been told to fill in the sheet	Success	40	40	12/10/2014 09:00	12/10/2014 09:00
186	1	Use	01:30:00	33.8	 		4	Group 6	Success	40	40	12/10/2014 09:00	12/10/2014 10:30
187	13	Use	04:09:00	37.6	 		8.5	0	Success	40	40	12/10/2014 09:00	12/10/2014 13:09
188	13	Use	00:00:00	0	 		0	0	Success	59	59	12/10/2014 13:09	12/10/2014 13:09
189	8	Use	00:56:00	21.4	 		2.5	0	Success	40	40	12/10/2014 09:00	12/10/2014 09:56
190	8	Use	00:18:00	5.1	 		0.75	0	Success	40	40	12/10/2014 09:56	12/10/2014 10:14
191	8	Use	01:29:00	52.7	 		4.5	0	Success	40	40	12/10/2014 10:14	12/10/2014 11:43
192	12	Use	02:55:00	23.7	 		5.44	Failed	Failed	59	59	12/10/2014 09:00	12/10/2014 09:17
193	1	Use	00:18:00	6	 		0.8	0	Success	40	40	12/10/2014 10:30	12/10/2014 10:48
194	10	Loan	39:00:00	0	 		50	returned	Success	40	40	12/10/2014 18:00	14/10/2014 09:00
195	3	Use	01:54:00	16	 		3.8	0	Success	40	40	12/10/2014 09:00	12/10/2014 10:54
196	3	Use	02:18:00	41	 		4.2	0	Success	40	40	12/10/2014 10:54	12/10/2014 13:12
197	3	Use	02:56:00	28	 		5.88	failed	Failed	40	40	12/10/2014 13:12	12/10/2014 13:29
198	6	Use	02:03:00	57	 		5.9	failed	Failed	40	40	12/10/2014 09:00	12/10/2014 09:12
199	3	Use	06:45:00	60	 		13	0	Success	40	40	12/10/2014 13:29	12/10/2014 20:14
200	10	Loan	183:00:00	0	 		0	returned	Success	58	58	14/10/2014 18:00	22/10/2014 09:00
201	3	Use	02:17:00	22	 		5	Email - florian.degiral@gmail.com or fd1c14@soton.ac.uk	Success	52	52	15/10/2014 09:00	15/10/2014 11:17
202	3	Use	03:04:00	26	 		6	Intern	Success	39	39	15/10/2014 11:17	15/10/2014 14:21
203	6	Use	02:46:00	11.2	 		4.7	"No logbook. (GDP33 Mech Eng) 24208949, 24385131"	Success	52	52	15/10/2014 09:00	15/10/2014 11:46
204	10	Use	00:31:00	9.4	 		1.2	Mob: 07769322099. Amount rounded up due to lack of change	Success	52	52	22/10/2014 09:00	22/10/2014 09:31
205	3	Use	00:14:00	1	 		0.4	Print failed. Student to return to try again another day	Failed	54	54	22/10/2014 09:00	22/10/2014 09:01
206	6	Use	04:00:00	39.2	 		8	Did not have students details - note left to say to get in touch with D Newman as printing was not ending until past 6pm	Success	52	52	22/10/2014 09:00	22/10/2014 13:00
207	12	Loan	303:00:00	0	 		0	returned	Success	43	43	06/11/2014 18:00	19/11/2014 09:00
208	10	Use	01:45:00	18.8	 		3	0	Success	39	39	06/11/2014 09:00	06/11/2014 10:45
209	2	Use	01:52:00	68.9	 		7.75	0	Success	58	58	06/11/2014 09:00	06/11/2014 10:52
210	15	Loan	615:00:00	0	 		200	returned Postgrad account opened with shoufeng - paid via costode	Success	43	43	07/11/2014 18:00	03/12/2014 09:00
211	19	Use	05:01:00	39	 		9.5	Mob: 07814895860	Success	54	54	12/11/2014 09:00	12/11/2014 14:01
212	9	Use	00:00:00	0	 		0	Setup for demonstrator training	Success	40	40	19/11/2014 09:00	19/11/2014 09:00
213	2	Use	00:20:00	0	 		0	Setup for demonstrator training	Success	40	40	19/11/2014 09:00	19/11/2014 09:20
214	12	Use	00:53:00	35.5	 		2.1	0	Success	40	40	19/11/2014 09:00	19/11/2014 09:53
215	2	Use	00:32:00	11.9	 		1.1	0	Success	40	40	19/11/2014 09:20	19/11/2014 09:52
216	9	Use	01:22:00	10.4	 		2.52	Print failed multiple times due to lack of filament holder on printer 1 so have moved to this printed	Failed	40	40	19/11/2014 09:00	19/11/2014 09:08
217	1	Use	01:22:00	10.4	 		2.52	Print failed multiple times due to lack of filament holder	Failed	40	40	19/11/2014 09:00	19/11/2014 09:08
218	19	Use	00:55:00	7	 		1.75	0	Success	40	40	19/11/2014 09:00	19/11/2014 09:55
219	19	Use	01:20:00	7	 		2.34	P{rint failed	Failed	40	40	19/11/2014 09:55	19/11/2014 10:03
220	19	Use	00:45:00	5	 		1.35	0	Success	40	40	19/11/2014 10:03	19/11/2014 10:48
221	19	Use	02:51:00	17	 		1.35	"MIght pick up tomorow, print has failed a number of times so might come back next week to discuss"	Failed	40	40	19/11/2014 10:48	19/11/2014 11:05
222	12	Use	01:50:00	15.6	 		4	Spreadsheet updated by Cat	Success	39	39	19/11/2014 09:53	19/11/2014 11:43
223	8	Use	04:31:00	46	 		8.2	0	Success	59	59	19/11/2014 09:00	19/11/2014 13:31
224	8	Use	01:50:00	12.2	 		3.46	0	Success	48	48	19/11/2014 13:31	19/11/2014 15:21
225	12	Use	00:30:00	19	 		0.75	After training (Free)	Success	41	41	26/11/2014 09:00	26/11/2014 09:30
226	9	Use	03:09:00	28.7	 		6	0	Success	41	41	26/11/2014 09:00	26/11/2014 12:09
227	10	Use	03:50:00	48	 		8.1	0	Success	41	41	26/11/2014 09:00	26/11/2014 12:50
228	8	Use	01:00:00	5.8	 		2	1h free from training	Success	41	41	26/11/2014 09:00	26/11/2014 10:00
229	11	Use	04:10:00	31.3	 		8	0	Success	41	41	02/12/2014 09:00	02/12/2014 13:10
230	4	Use	02:50:00	63.2	 		7.5	0	Success	41	41	03/12/2014 09:00	03/12/2014 11:50
231	3	Use	00:32:00	10	 		1.5	0	Success	41	41	03/12/2014 09:00	03/12/2014 09:32
232	3	Use	01:00:00	28	 		3	0	Success	41	41	03/12/2014 09:32	03/12/2014 10:32
233	13	Use	120:00:00	30	 		181.5	0	Success	41	41	03/12/2014 09:00	08/12/2014 09:00
234	13	Use	02:40:00	0	 		4	material amount Not recorded	Success	41	41	08/12/2014 09:00	08/12/2014 11:40
235	2	Use	03:15:00	116.3	 		11	0	Success	59	59	03/12/2014 09:00	03/12/2014 12:15
236	3	Use	02:35:00	0	 		4	0	Success	41	41	03/12/2014 10:32	03/12/2014 13:07
237	3	Use	01:46:00	0	 		3	0	Success	41	41	03/12/2014 13:07	03/12/2014 14:53
238	11	Use	09:00:00	0	 		13.5	0	Success	41	41	03/12/2014 09:00	03/12/2014 18:00
239	6	Use	00:00:00	27	 		1.5	0	Success	41	41	03/12/2014 09:00	03/12/2014 09:00
240	6	Use	02:35:00	66	 		7.5	0	Success	41	41	03/12/2014 09:00	03/12/2014 11:35
241	15	Use	01:51:00	42.9	 		0	Refund back 4.90 pounds	Success	41	41	03/12/2014 09:00	03/12/2014 10:51
242	19	Use	00:24:00	3	 		0.8	0	Success	50	50	03/12/2014 09:00	03/12/2014 09:24
243	15	Use	04:52:00	115.1	 		0	Task failed in the middle due to wrong settings	Failed	41	41	03/12/2014 10:51	03/12/2014 11:20
244	1	Use	01:40:00	42.8	 		5	Group 6 failed	Failed	40	40	10/12/2014 09:00	10/12/2014 09:10
245	1	Use	05:01:00	3.7	 		8	phone:07814895860	Success	54	54	11/12/2014 09:00	11/12/2014 14:01
246	3	Use	00:35:00	6	 		1.5	0	Success	54	54	11/12/2014 09:00	11/12/2014 09:35
247	3	USe	00:30:00	6	 		1.5	0	Success	54	54	11/12/2014 09:35	11/12/2014 10:05
248	3	Use	01:30:00	21	 		3.5	0	Success	59	59	11/12/2014 10:05	11/12/2014 11:35
249	9	Use	01:14:00	11.9	 		2.5	0	Success	54	54	11/12/2014 09:00	11/12/2014 10:14
